// Dump of all classes for "insurgency" as at 21/01/2016
//

CFireSmoke - _firesmoke
CSpriteOriented - env_sprite_oriented
CSpriteTrail - env_spritetrail
CSteamJet - env_steam
CSteamJet - env_steamjet
CSun - env_sun
CBaseEntity - env_texturetoggle
CBaseEntity - env_tilt
CEnvTonemapController - env_tonemap_controller
CBaseEntity - env_tracer
CBaseEntity - env_viewpunch
CEnvWind - env_wind
CBaseEntity - env_zoom
CBaseEntity - event_queue_saveload_proxy
CBaseEntity - filter_activator_class
CBaseEntity - filter_activator_context
CBaseEntity - filter_activator_mass_greater
CBaseEntity - filter_activator_model
CBaseEntity - filter_activator_name
CBaseEntity - filter_activator_team
CBaseEntity - filter_base
CBaseEntity - filter_damage_type
CBaseEntity - filter_multi
CFish - fish
CBaseEntity - fog_volume
CBaseEntity - func_areaportal
CFuncAreaPortalWindow - func_areaportalwindow
CBreakable - func_breakable
CBreakableSurface - func_breakable_surf
CFuncBrush - func_brush
CBaseButton - func_button
CBaseTrigger - func_buyzone
CBaseEntity - func_clip_vphysics
CFuncConveyor - func_conveyor
CBaseTrigger - func_datazone
CBaseEntity - func_detail_blocker
CBaseDoor - func_door
CBaseDoor - func_door_rotating
CFunc_Dust - func_dustcloud
CFunc_Dust - func_dustmotes
CFuncElevator - func_elevator
CBaseEntity - func_fish_pool
CBaseToggle - func_guntarget
CBaseEntity - func_illusionary
CBaseEntity - func_instance_io_proxy
CBaseEntity - func_ladderendpoint
CFunc_LOD - func_lod
CFuncMonitor - func_monitor
CFuncMoveLinear - func_movelinear
CBaseEntity - func_nav_avoid
CBaseEntity - func_nav_avoidance_obstacle
CBaseEntity - func_nav_blocker
CBaseEntity - func_nav_prefer
CBaseTrigger - func_nav_prerequisite
CFuncOccluder - func_occluder
CPhysBox - func_physbox
CPhysBoxMultiplayer - func_physbox_multiplayer
CBaseToggle - func_plat
CBaseToggle - func_platrot
CPrecipitation - func_precipitation
CPrecipitationBlocker - func_precipitation_blocker
CBaseEntity - func_proprrespawnzone
CBreakable - func_pushable
CFuncReflectiveGlass - func_reflective_glass
CBaseButton - func_rot_button
CFuncRotating - func_rotating
CFuncSimpleLadder - func_simpleladder
CFuncSmokeVolume - func_smokevolume
CBaseEntity - func_tank
CBaseEntity - func_tank_combine_cannon
CBaseEntity - func_tanklaser
CBaseEntity - func_tankmortar
CBaseEntity - func_tankphyscannister
CFuncTrackTrain - func_tanktrain
CFuncTeamBlocker - func_teamblocker
CBaseToggle - func_trackautochange
CBaseToggle - func_trackchange
CFuncTrackTrain - func_tracktrain
CBaseToggle - func_train
CBaseEntity - func_traincontrols
CFuncLadder - func_useableladder
CBaseEntity - func_vehicleclip
CBaseEntity - func_wall
CBaseEntity - func_wall_toggle
CBaseDoor - func_water
CFuncMoveLinear - func_water_analog
CWeaponLowerZone - func_weapon_lower
CBaseEntity - func_weight_button
CBaseFlex - funCBaseFlex
CBaseEntity - game_end
CBaseEntity - game_gib_manager
CBaseEntity - game_player_equip
CBaseEntity - game_player_team
CRagdollManager - game_ragdoll_manager
CBaseEntity - game_score
CBaseEntity - game_text
CBaseEntity - game_ui
CBaseEntity - game_weapon_manager
CBaseEntity - game_zone_player
CINSGearBase - gear_base
CINSGearNVG - gear_nvg
CBaseAnimating - gib
CBaseEntity - gibshooter
CBaseEntity - hammer_updateignorelist
CBaseEntity - handle_dummy
CHandleTest - handle_test
CBaseEntity - info_camera_link
CBaseEntity - info_constraint_anchor
CBaseEntity - info_elevator_floor
CBaseEntity - info_game_event_proxy
CBaseEntity - info_intermission
CFuncSimpleLadder - info_ladder
CInfoLadderDismount - info_ladder_dismount
CBaseEntity - info_landmark
CBaseEntity - info_mass_center
CBaseEntity - info_null
CInfoOverlayAccessor - info_overlay_accessor
CParticleSystem - info_particle_system
CBaseEntity - info_player_deathmatch
CBaseEntity - info_player_start
CBaseEntity - info_player_teamspawn
CBaseEntity - info_projecteddecal
CBaseEntity - info_remarkable
CBaseEntity - info_target
CBaseEntity - info_target_instructor_hint
CBaseEntity - info_teleport_destination
CBaseEntity - info_vehicle_groundspawn
CBaseEntity - infodecal
CINSBlockZone - ins_blockzone
CBaseEntity - ins_explosion
CBaseAnimating - ins_foliage
CINSObjectiveResource - ins_objective_resource
CINSPlayerResource - ins_player_manager
CINSPlayer - ins_player_nbot
CINSRagdoll - ins_ragdoll
CINSRulesProxy - ins_rulesproxy
CBaseEntity - ins_spawnpoint
CINSSpawnZone - ins_spawnzone
CBaseEntity - ins_viewpoint
CSceneEntity - instanced_scripted_scene
CBaseAnimating - item_sodacan
CRopeKeyframe - keyframe_rope
CBaseEntity - keyframe_track
CBaseEntity - light
CBaseEntity - light_directional
CDynamicLight - light_dynamic
CBaseEntity - light_environment
CBaseEntity - light_glspot
CBaseEntity - light_spot
CBaseEntity - logic_achievement
CBaseEntity - logic_active_autosave
CLogicAmbush - logic_ambush
CBaseEntity - logic_auto
CBaseEntity - logic_autosave
CLogicBattle - logic_battle
CBaseEntity - logic_branch
CBaseEntity - logic_branch_listener
CBaseEntity - logic_case
CLogicCheckpoint - logic_checkpoint
CSceneEntity - logic_choreographed_scene
CBaseEntity - logic_collision_pair
CBaseEntity - logic_compare
CLogicConquer - logic_conquer
CLogicCoopBase - logic_coop_base
CLogicElimination - logic_elimination
CBaseEntity - logic_eventlistener
CLogicFirefight - logic_firefight
CLogicFlashpoint - logic_flashpoint
CLogicHunt - logic_hunt
CLogicInfiltrate - logic_infiltrate
CBaseEntity - logic_lineto
CBaseEntity - logic_measure_movement
CBaseEntity - logic_multicompare
CBaseEntity - logic_navigation
CLogicOccupy - logic_occupy
CLogicOutpost - logic_outpost
CBaseEntity - logic_playerproxy
CBaseEntity - logic_proximity
CLogicPush - logic_push
CBaseEntity - logic_random_outputs
CBaseEntity - logic_register_activator
CBaseEntity - logic_relay
CBaseEntity - logic_scene_list_manager
CBaseEntity - logic_script
CLogicSearchDestroy - logic_searchdestroy
CLogicSinglePlayerBase - logic_singleplayer_base
CLogicSkirmish - logic_skirmish
CLogicStrike - logic_strike
CLogicSurvival - logic_survival
CBaseEntity - logic_timer
CLogicTraining - logic_training
CBaseEntity - logic_training_timer
CLogicVendetta - logic_vendetta
CMaterialModifyControl - material_modify_control
CBaseEntity - math_colorblend
CBaseEntity - math_counter
CBaseEntity - math_remap
CFuncMoveLinear - momentary_door
CBaseButton - momentary_rot_button
CMortarShell - mortarshell
CBaseEntity - move_keyframed
CRopeKeyframe - move_rope
CBaseEntity - multisource
CObjDestructibleVehicle - obj_destructible_vehicle
CObjTerminal - obj_terminal
CObjWeaponCache - obj_weapon_cache
CBaseEntity - path_corner
CBaseEntity - path_corner_crash
CBaseEntity - path_track
CBaseEntity - phys_ballsocket
CBoneFollower - phys_bone_follower
CBaseEntity - phys_constraint
CBaseEntity - phys_constraintsystem
CBaseEntity - phys_convert
CBaseEntity - phys_hinge
CBaseEntity - phys_keepupright
CBaseEntity - phys_lengthconstraint
CPhysMagnet - phys_magnet
CBaseEntity - phys_motor
CBaseEntity - phys_pulleyconstraint
CBaseEntity - phys_ragdollconstraint
CBaseEntity - phys_ragdollmagnet
CBaseEntity - phys_slideconstraint
CBaseEntity - phys_spring
CBaseEntity - phys_thruster
CBaseEntity - phys_torque
CBaseCombatCharacter - physics_cannister
CBaseEntity - physics_entity_solver
CPhysicsProp - physics_prop
CRagdollProp - physics_prop_ragdoll
CStatueProp - physics_prop_statue
CPlayTeam - play_team_manager
CINSPlayer - player
CPlayerResource - player_manager
CBaseEntity - player_speedmod
CBaseEntity - player_weaponstrip
CBaseEntity - point_anglesensor
CBaseEntity - point_angularvelocitysensor
CBaseEntity - point_broadcastclientcommand
CPointCamera - point_camera
CBaseEntity - point_clientcommand
CBaseEntity - point_controlpoint
CBaseEntity - point_devshot_camera
CBaseEntity - point_enable_motion_fixup
CBaseEntity - point_entity_finder
CItemCarryBase - point_flag
CBaseEntity - point_gamestats_counter
CBaseEntity - point_hurt
CBaseEntity - point_message
CBaseEntity - point_playermoveconstraint
CPoseController - point_posecontroller
CBaseEntity - point_proximity_sensor
CBaseEntity - point_servercommand
CBaseEntity - point_spotlight
CBaseEntity - point_teleport
CBaseEntity - point_template
CTesla - point_tesla
CBaseEntity - point_velocitysensor
CBaseEntity - point_viewcontrol
CBaseEntity - point_viewcontrol_multiplayer
CBaseEntity - point_viewproxy
CPostProcessController - postprocess_controller
CINSViewModel - predicted_viewmodel
CPropDoorRotating - prop_door_rotating
CDynamicProp - prop_dynamic
CDynamicProp - prop_dynamic_ornament
CDynamicProp - prop_dynamic_override
CProp_Hallucination - prop_hallucination
CPhysicsProp - prop_physics
CPhysicsPropMultiplayer - prop_physics_multiplayer
CPhysicsProp - prop_physics_override
CPhysicsProp - prop_physics_respawnable
CPhysicsProp - prop_pumpkin
CRagdollProp - prop_ragdoll
CRagdollPropAttached - prop_ragdoll_attached
CPhysicsProp - prop_sphere
CINSSprinkler - prop_sprinkler
CBaseFlex - prop_talker
CBaseAnimating - prop_vehicle
CPropVehicleDriveable - prop_vehicle_driveable
CBaseAnimating - raggib
CBaseEntity - scene_manager
CSceneEntity - scripted_scene
CShadowControl - shadow_control
NextBotCombatCharacter - simple_bot
CBaseEntity - simple_physics_brush
CBaseAnimating - simple_physics_prop
CBaseEntity - sky_camera
CBaseEntity - skybox_swapper
CBaseEntity - soundent
CBaseEntity - spark_shower
CSpotlightEnd - spotlight_end
CBaseEntity - spraycan
CSunlightShadowControl - sunlight_shadow_control
CBaseAnimating - tank_destruction
CINSTankVehicle - tank_vehicle
CBaseEntity - tanktrain_ai
CBaseEntity - tanktrain_aitarget
CBaseEntity - target_cdaudio
CBaseEntity - target_changegravity
CBaseEntity - te_tester
CTeam - team_manager
CBaseEntity - test_effect
CTest_ProxyToggle_Networkable - test_proxytoggle
CTestTraceline - test_traceline
CTheaterDirectorProxy - theater_director_proxy
CBaseTrigger - trigger
CBaseTrigger - trigger_auto_crouch
CBaseEntity - trigger_brush
CBaseTrigger - trigger_capture_zone
CBaseTrigger - trigger_cdaudio
CBaseTrigger - trigger_changelevel
CBaseTrigger - trigger_fog
CBaseTrigger - trigger_gravity
CBaseTrigger - trigger_grenade_extinguisher
CBaseTrigger - trigger_hierarchy
CBaseTrigger - trigger_hurt
CBaseTrigger - trigger_impact
CBaseTrigger - trigger_look
CBaseTrigger - trigger_multiple
CBaseTrigger - trigger_once
CTriggerPlayerMovement - trigger_playermovement
CBaseTrigger - trigger_proximity
CBaseTrigger - trigger_push
CBaseTrigger - trigger_remove
CBaseTrigger - trigger_rocket_suppress
CBaseTrigger - trigger_serverragdoll
CBaseTrigger - trigger_soundscape
CBaseTrigger - trigger_teleport
CBaseTrigger - trigger_tonemap
CBaseEntity - trigger_transition
CBaseVPhysicsTrigger - trigger_vphysics_motion
CBaseVPhysicsTrigger - trigger_wind
CMovieDisplay - vgui_movie_display
CVGuiScreen - vgui_screen
CVGuiScreen - vgui_screen_team
CSlideshowDisplay - vgui_slideshow_display
CViewTeam - view_team_manager
CBaseViewModel - viewmodel
CVoteController - vote_controller
CWaterLODControl - water_lod_control
CWaterBullet - waterbullet
CINSWeaponBallistic - weapon_ballistic
CINSWeapon - weapon_base
CINSGrenadeBase - weapon_grenade
CINSWeaponMeleeBase - weapon_melee
CINSRemoteBase - weapon_remote
CINSWeaponRocketBase - weapon_rocket_base
CBaseAnimating - window_pane
CBaseAnimating - world_items
CWorld - worldspawn
